file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\iterators\AbstractTestIterator.java,org.apache.commons.collections.iterators.AbstractTestIterator,class,2,19,17,2,21,1,14,13,55,0.0,0.0,0.0,11,0,11,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,86,7,1,3,6,0,5,0,3,0,3,2,0,0,0,102,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\DefaultMapBag.java,org.apache.commons.collections.DefaultMapBag,class,6,10,4,6,52,1,2,39,276,0.7701149,0.0,0.0,29,0,23,2,4,0,27,0,0,0,3,0,0,3,0,0,0,0,2,232,30,8,10,0,3,5,10,49,3,35,2,0,1,0,196,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\map\AbstractReferenceMap.java,org.apache.commons.collections.map.AbstractReferenceMap$ReferenceKeySetIterator,innerclass,3,3,0,3,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\StaticBucketMap.java,org.apache.commons.collections.StaticBucketMap$Node,innerclass,2,2,0,2,12,1,0,4,0,0.53333336,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,0,26,8,0,8,0,7,0,2,3,0,5,1,0,0,0,22,26,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\TestCollectionUtils.java,org.apache.commons.collections.TestCollectionUtils$Anonymous5$Anonymous6,anonymous,1,1,0,1,5,1,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,19,5,0,0,0,0,0,0,1,0,1,0,0,0,0,14,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\map\IdentityMap.java,org.apache.commons.collections.map.IdentityMap$IdentityEntry,innerclass,1,1,0,1,7,2,0,5,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,18,4,0,4,0,2,0,0,1,0,1,1,0,0,0,15,12,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\map\ListOrderedMap.java,org.apache.commons.collections.map.ListOrderedMap$ListOrderedMapEntry,innerclass,3,3,0,3,3,3,0,3,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,12,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\comparators\TestBooleanComparator.java,org.apache.commons.collections.comparators.TestBooleanComparator,class,5,7,2,5,38,2,0,19,105,0.0,0.0,0.0,15,1,8,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,10,167,4,0,0,12,18,21,18,1,0,1,1,0,0,0,56,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\buffer\BoundedFifoBuffer.java,org.apache.commons.collections.buffer.BoundedFifoBuffer$Anonymous1,anonymous,2,2,0,2,11,1,0,5,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1,48,3,1,4,0,1,0,8,17,3,4,3,0,0,0,27,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\functors\NullIsTruePredicate.java,org.apache.commons.collections.functors.NullIsTruePredicate,class,3,5,2,3,6,1,0,1,0,0.625,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,0,23,4,0,2,0,0,1,1,2,0,2,1,0,0,0,72,17,0
