file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\exp\parser\ASTNamedParameter.java,org.apache.cayenne.exp.parser.ASTNamedParameter,class,5,7,2,5,12,4,0,10,21,0.0,0.0,0.0,7,0,5,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,4,0,0,4,4,4,1,3,2,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\merge\DropColumnToDb.java,org.apache.cayenne.merge.DropColumnToDb,class,11,13,2,11,4,4,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,0,3,0,2,0,2,0,0,0,0,38,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-tools\src\test\java\org\apache\cayenne\gen\ClassGenerationInfoTest.java,org.apache.cayenne.gen.ClassGenerationInfoTest,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,1,0,1,0,0,0,0,12,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\mt\auto\_ClientMtDeleteRule.java,org.apache.cayenne.testdo.mt.auto._ClientMtDeleteRule,class,5,6,1,5,23,1,1,8,35,0.875,0.0,0.0,11,0,11,0,0,0,11,0,0,0,8,4,4,0,4,0,4,0,0,80,4,0,12,0,0,16,0,6,0,9,1,0,0,0,70,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jpa-unpublished\src\main\java\org\apache\cayenne\jpa\map\JpaPropertyDescriptor.java,org.apache.cayenne.jpa.map.JpaPropertyDescriptor,class,3,19,16,3,23,1,0,20,5,0.7,0.0,0.0,10,0,8,0,1,1,10,0,0,0,5,0,0,0,5,0,0,0,1,75,11,0,3,0,0,1,6,14,1,9,3,0,0,0,79,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\dba\hsqldb\HSQLMergerFactory.java,org.apache.cayenne.dba.hsqldb.HSQLMergerFactory,class,8,9,1,8,3,2,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,0,0,3,0,0,23,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\util\CayenneMapTest.java,org.apache.cayenne.util.CayenneMapTest$Anonymous1,anonymous,0,0,0,0,3,1,0,0,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\CompoundPkTestEntity.java,org.apache.art.CompoundPkTestEntity,class,1,6,5,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\access\jdbc\SQLTemplateRenderingUtils.java,org.apache.cayenne.access.jdbc.SQLTemplateRenderingUtils,class,1,2,1,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\auto\_ArtGroup.java,org.apache.art.auto._ArtGroup,class,3,6,3,3,10,1,1,5,45,1.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,5,5,0,0,0,5,0,0,37,4,0,0,0,0,15,0,5,0,5,0,0,0,0,70,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\util\EntityMergeListener.java,org.apache.cayenne.util.EntityMergeListener,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\MockTransactionDelegate.java,org.apache.cayenne.access.MockTransactionDelegate,class,2,3,1,2,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\map\DbRelationship.java,org.apache.cayenne.map.DbRelationship$JoinTransformers,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,2,0,2,0,2,0,0,6,24,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\pref\HSQLEmbeddedPreferenceService.java,org.apache.cayenne.pref.HSQLEmbeddedPreferenceService,class,15,21,6,15,36,2,0,31,0,0.55555564,0.0,0.0,9,0,5,0,0,4,9,0,0,0,5,0,0,0,5,0,0,0,4,227,5,3,10,4,0,9,3,25,4,23,5,1,2,0,134,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\Testmap.java,org.apache.art.Testmap,class,2,3,1,2,3,2,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,11,1,0,1,0,0,0,0,1,0,1,1,0,0,0,6,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\access\DbGeneratorPostprocessor.java,org.apache.cayenne.access.DbGeneratorPostprocessor$HSQLDBPostprocessor,innerclass,1,1,0,1,1,2,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,1,0,1,1,0,0,0,14,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\LongEntity.java,org.apache.art.LongEntity,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\project\ApplicationUpgradeHandler.java,org.apache.cayenne.project.ApplicationUpgradeHandler$UpgradeHandler_3_0,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\access\IncrementalFaultList.java,org.apache.cayenne.access.IncrementalFaultList$DataRowListHelper,innerclass,2,2,0,2,14,2,0,6,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,44,10,2,5,0,1,0,0,8,0,8,3,0,0,0,25,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\DataContextCharPKTest.java,org.apache.cayenne.access.DataContextCharPKTest,class,5,5,0,5,7,2,0,15,0,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,62,0,0,3,0,0,22,5,18,0,14,1,0,0,0,42,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\util\Util.java,org.apache.cayenne.util.Util,class,16,231,215,16,118,1,0,66,325,0.0,0.0,0.0,26,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,21,364,64,8,37,9,10,32,44,56,20,47,5,1,0,0,314,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\codegen\CodeGeneratorDialog.java,org.apache.cayenne.modeler.dialog.codegen.CodeGeneratorDialog,class,1,2,1,1,4,6,0,11,0,0.5625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,2,37,3,0,0,0,0,6,2,7,0,7,0,0,0,0,32,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\exp\ExpressionFactoryTest.java,org.apache.cayenne.exp.ExpressionFactoryTest,class,13,13,0,13,30,2,0,56,378,0.96428573,0.0,0.0,28,0,28,0,0,0,28,0,0,0,1,1,0,1,0,0,1,0,41,233,0,1,0,1,3,65,24,87,1,86,1,0,0,0,74,1,0
