file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\shared\AssertionFailureException.java,com.hp.hpl.jena.shared.AssertionFailureException,class,1,2,1,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\ontology\impl\OntModelImpl.java,com.hp.hpl.jena.ontology.impl.OntModelImpl$SubjectNodeAs,innerclass,4,4,0,4,2,1,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,4,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\shared\DeleteDeniedException.java,com.hp.hpl.jena.shared.DeleteDeniedException,class,2,4,2,2,2,6,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\arp\states\AbsXMLLiteral.java,com.hp.hpl.jena.rdf.arp.states.AbsXMLLiteral,class,9,12,3,9,44,3,2,30,48,0.703125,0.0,0.0,16,1,8,4,2,2,13,1,0,0,4,1,1,0,1,2,2,0,2,178,3,6,3,0,0,24,10,44,2,23,2,0,0,0,78,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\db\impl\ResultSetReifIterator.java,com.hp.hpl.jena.db.impl.ResultSetReifIterator,class,12,16,4,12,54,2,0,10,57,0.8095239,0.0,0.0,15,0,5,0,10,0,15,0,0,0,14,1,0,0,14,0,0,0,6,154,8,0,22,1,12,3,22,43,1,20,4,0,0,0,190,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\db\impl\GraphRDBMaker.java,com.hp.hpl.jena.db.impl.GraphRDBMaker,class,11,14,3,11,21,2,0,23,36,0.76923084,0.0,0.0,13,0,12,0,1,0,13,0,0,0,5,0,0,1,3,1,0,0,3,64,10,1,4,0,1,2,0,12,1,10,1,1,0,0,123,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Rewrite.java,com.hp.hpl.jena.graph.query.Rewrite$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\reasoner\rulesys\FBRuleInfGraph.java,com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph$RuleStore,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,26,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\impl\ModelCom.java,com.hp.hpl.jena.rdf.model.impl.ModelCom,class,76,106,30,76,277,2,4,249,28464,0.98214287,0.0,0.0,240,8,220,13,7,0,227,0,0,2,7,3,0,5,2,0,2,0,77,911,234,13,9,9,0,22,8,61,2,53,3,3,0,0,446,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\util\iterator\RandomOrderIterator.java,com.hp.hpl.jena.util.iterator.RandomOrderIterator,class,3,5,2,3,8,3,0,4,0,0.46666667,0.0,0.0,5,0,4,1,0,0,4,0,0,0,3,0,0,2,0,1,0,0,0,31,2,1,0,0,0,2,2,8,0,6,1,0,0,0,36,1,0
